"y","d","X1"
6965,1,0
2577,0,0
1839,1,0
24,0,0
15649,1,0
40418,0,0
1238,0,0
1071,1,0
361,1,0
10014,1,0
23126,1,0
15537,1,0
234,1,0
0,1,0
9588,0,0
113,1,0
5193,1,0
29710,1,0
5709,1,0
14937,0,0
750,1,0
29191,1,0
19542,1,0
483,0,0
1707,1,0
0,0,0
8538,0,0
59439,1,0
0,0,0
807,0,0
13206,1,1
469,0,3
2424,1,5
22513,1,5
18270,1,5
783,0,6
1047,1,6
1903,0,8
12526,1,8
12773,0,9
50241,0,10
1053,1,11
0,0,12
14749,0,13
0,1,14
20039,1,15
7878,1,16
1949,1,17
6336,0,19
46098,1,20
456,0,20
9689,1,23
0,0,24
24521,1,25
352,0,28
7028,1,30
0,1,30
10838,1,31
0,1,32
5082,1,35
20,1,36
20301,0,38
30,1,40
20383,1,40
40953,1,40
0,1,40
23144,1,42
1188,0,45
43580,1,48
0,1,49
23765,1,50
1731,0,50
3649,0,50
1368,1,50
0,0,54
0,1,55
9325,1,57
13705,1,59
363,0,60
1453,1,60
321,1,60
0,0,62
2382,0,63
2007,1,64
18646,1,67
16248,0,69
17743,1,70
14727,1,71
143,1,72
10620,0,75
6789,0,75
4515,1,75
18525,1,76
25451,0,77
1123,0,78
8367,0,79
0,1,80
32544,1,80
33909,0,84
12462,1,85
30376,1,85
10047,0,86
72,0,88
12086,0,89
10395,0,90
0,1,90
688,1,90
23710,1,91
23556,1,92
2493,1,93
13,0,94
9487,1,96
4446,1,98
8513,1,98
16363,1,98
46491,1,98
732,1,98
18231,1,98
0,0,98
21120,1,98
40038,0,98
12542,0,98
0,1,98
6902,0,98
7698,1,98
717,1,98
0,1,98
7257,0,98
18535,1,98
33604,1,98
25301,1,98
6304,1,98
27729,1,98
1654,1,99
9029,1,100
2783,1,100
3008,1,100
30080,1,100
0,1,100
0,1,100
27291,0,100
13498,0,100
22449,1,100
24337,1,100
522,1,100
16641,1,100
55653,1,100
18077,1,102
19403,1,103
0,1,104
17986,1,106
29778,0,107
11591,1,108
20274,0,109
7068,1,110
3351,1,112
2472,0,114
25262,1,117
4673,1,119
13871,0,120
1302,1,120
1005,1,120
14002,0,120
0,1,120
15789,1,122
5887,1,124
26091,0,125
13536,1,125
15128,1,126
2541,1,128
34775,1,129
544,1,130
22052,1,130
19320,1,132
0,1,133
13965,0,134
8692,1,135
2902,1,135
7381,0,136
4346,1,138
15141,0,140
83,1,140
303,0,140
0,1,140
51,1,140
4019,0,140
170,0,140
6738,1,140
7172,0,143
0,1,144
0,1,145
17358,1,146
22221,1,150
247,1,150
4797,1,150
14580,0,150
22425,1,150
6144,0,150
18767,0,150
477,0,150
11716,1,150
6762,0,150
0,0,154
20553,0,155
0,1,157
6821,1,160
24830,1,160
1940,0,160
28801,1,160
0,1,162
9632,1,162
5961,1,165
3626,1,166
490,1,167
1788,1,168
3147,1,170
0,1,170
3033,1,170
2806,1,171
44514,0,172
13197,0,174
24996,1,175
28631,1,176
14997,0,178
27824,1,179
17692,0,180
135,0,180
14094,1,180
30742,0,182
4005,0,184
0,1,187
1819,1,189
12478,1,190
18615,0,192
0,1,195
6924,0,196
351,0,197
201,1,200
46737,1,200
14847,1,200
1257,1,200
0,0,200
15052,1,200
0,1,200
0,1,200
32110,1,200
469,0,200
22518,0,200
3150,0,200
4560,0,200
11406,0,200
32004,0,200
51,1,200
46020,1,200
0,1,200
37687,0,200
4461,0,200
43443,1,200
5152,0,200
9627,1,200
8388,1,200
7085,0,200
61485,0,200
4758,1,200
18192,1,200
19095,1,200
29058,0,200
59236,1,203
13977,1,206
0,1,208
28506,1,209
1008,0,212
23683,0,213
21852,1,215
18648,0,218
11382,1,219
36201,1,220
49117,1,220
13815,1,224
0,1,224
13333,1,225
5513,0,228
13314,0,229
29927,1,230
4913,1,230
12261,1,231
0,1,232
7077,1,234
13755,1,240
23850,1,240
1110,0,240
8772,0,244
2760,0,245
0,1,246
28161,0,248
546,1,250
1625,1,250
2450,0,250
15938,1,250
0,0,250
43299,1,250
264,1,250
4764,1,250
6171,0,250
9480,0,250
6252,1,256
0,1,260
26049,0,262
0,1,265
4459,1,268
12004,1,270
14896,1,272
21972,1,274
7137,0,275
2595,1,276
1203,1,278
1838,0,280
2694,1,285
1674,1,286
27169,1,288
29744,1,289
9732,1,290
15009,0,292
3339,0,294
5232,1,295
20856,1,296
268,0,297
36669,1,298
28349,1,299
14295,1,300
2614,1,300
7767,0,300
21675,0,300
0,1,300
21574,1,300
2196,1,300
10374,1,300
4071,0,300
47563,1,300
7288,0,300
174,1,300
44261,1,300
1593,1,300
30249,1,300
1744,1,300
1254,1,300
0,1,300
7092,1,300
7749,0,300
12444,0,300
11417,0,300
4475,0,300
2269,1,300
46855,1,300
20917,1,300
7174,1,300
39759,1,303
0,0,308
183,0,310
3624,1,313
1750,1,315
4461,0,318
426,0,320
180,1,320
6873,1,322
693,1,325
3314,1,326
825,0,328
68989,0,330
1197,1,335
5211,1,335
17003,1,336
1325,1,339
283,0,340
37374,1,341
8546,1,342
22390,0,343
3495,0,344
3347,1,348
5854,0,350
83,0,350
3433,0,350
9720,1,350
3397,0,350
0,1,350
17293,0,352
0,1,358
8115,1,360
15116,0,360
17539,0,360
31131,0,360
2487,0,360
20569,1,360
26873,1,363
10297,0,364
18519,1,366
588,1,368
858,1,369
31040,1,370
37071,1,371
69,1,375
0,1,379
9167,1,384
555,1,387
26771,0,390
20310,1,392
6307,1,396
0,0,397
0,1,398
1440,1,400
594,1,400
19707,1,400
23322,0,400
9634,1,400
43710,1,400
6904,1,400
7110,0,400
15075,0,400
17727,1,400
1373,0,400
3620,1,400
2451,0,400
1659,1,400
42433,0,400
2352,1,400
12777,1,400
3816,1,400
0,0,400
29575,1,400
0,0,400
0,0,400
20376,1,400
1819,1,400
2442,1,400
0,1,400
21060,1,400
4307,1,400
68772,1,400
1830,1,400
30432,1,402
147,0,403
39233,1,404
22242,1,406
0,0,407
13089,1,408
927,1,410
300,0,412
33276,1,418
3618,0,420
2817,1,421
1929,1,422
300,0,425
16722,1,434
27412,1,435
46440,1,438
37191,1,440
10729,1,442
15748,1,444
29339,1,450
1470,1,450
1062,1,450
4497,1,450
8389,0,450
12689,1,451
13029,1,452
0,1,460
13006,0,465
5067,1,468
1065,0,470
8073,0,472
21629,1,475
26148,1,476
1003,0,480
0,1,480
22863,1,480
33497,1,481
16958,1,488
3801,1,490
16257,0,492
254,1,498
5850,1,500
5047,1,500
0,1,500
8643,1,500
7743,1,500
18259,1,500
9923,1,500
37421,1,500
38774,1,500
5013,1,500
18360,1,500
13974,1,500
13741,1,500
1623,0,500
36099,1,500
14145,1,500
21760,1,500
0,1,500
2896,1,500
5940,1,500
0,1,500
1274,1,500
618,1,500
30497,1,500
4583,1,500
2466,1,500
31290,0,500
12656,1,500
23421,1,500
3094,1,500
1300,1,502
676,1,504
57,1,506
4901,1,507
675,1,509
9620,0,516
1605,1,520
3162,1,520
26923,1,521
39,1,522
6180,0,528
1104,1,530
1891,1,532
34918,1,533
0,0,536
0,1,539
0,1,540
10676,1,542
1611,1,550
981,1,550
3723,1,550
0,0,550
0,1,550
12711,1,552
6930,1,554
26091,1,557
7986,0,558
10950,1,560
2348,1,570
14640,1,575
35725,1,576
22094,1,580
13881,1,586
0,0,588
6102,1,590
7610,0,597
21561,1,600
15850,0,600
43366,1,600
2051,1,600
3522,1,600
0,1,600
9081,0,600
0,0,600
4993,0,600
9198,1,600
8937,0,600
138,0,600
1367,1,600
3849,1,600
41580,0,600
13581,1,600
4620,0,600
5608,1,600
99,1,600
131,1,600
15381,0,600
11991,1,600
10425,1,600
156,1,600
8298,0,600
127,1,600
13833,0,600
2463,0,600
0,1,600
2124,1,600
41727,1,604
29728,0,606
2772,0,609
19555,1,612
41661,1,616
1429,0,620
1639,1,621
22716,1,627
8304,1,629
1458,1,630
9648,0,630
257,1,634
24767,0,636
26220,1,637
26314,0,638
6339,0,640
21483,1,640
1392,0,645
3123,1,647
0,1,650
0,1,650
16,0,650
909,0,652
246,0,655
3397,0,656
42936,1,660
14790,1,665
9550,1,670
16590,0,671
13098,1,672
24262,0,675
0,0,676
11474,1,680
22510,1,684
24621,1,685
11088,1,690
951,0,696
8187,1,700
16629,1,700
2658,0,700
19857,0,700
0,1,700
1401,0,700
17844,0,700
672,1,700
18012,0,700
201,0,700
22200,0,700
0,0,700
800,0,700
6641,1,700
905,1,700
928,1,700
10392,1,700
13367,1,700
5805,0,700
0,1,700
0,1,704
22927,0,706
17673,0,708
50253,1,711
31743,1,714
16028,1,715
53947,1,716
23104,0,720
376,1,720
6353,1,723
2634,1,725
3618,1,728
1296,0,733
3584,0,742
2955,0,744
22911,1,750
13105,0,750
21429,0,750
6746,0,752
933,0,753
0,1,754
28140,0,759
0,0,774
0,1,776
27273,1,778
2310,0,780
26288,1,780
12652,1,784
447,0,800
33285,0,800
2346,0,800
55872,0,800
15507,0,800
0,0,800
10627,1,800
1125,1,800
23491,1,800
11049,0,800
2379,1,800
2865,0,800
2825,0,800
25586,1,800
17031,1,800
23955,1,800
7772,1,800
5727,0,800
0,1,800
17060,0,800
33581,1,800
2419,0,800
142,0,800
10093,1,800
9180,1,800
28050,1,800
2588,0,800
34,0,800
4230,0,800
50633,1,800
3102,1,814
251,1,816
11382,0,821
26268,1,824
22560,1,825
3375,1,832
20521,1,834
1776,1,837
31308,1,840
10095,1,844
40837,1,850
17471,1,850
9969,0,850
0,1,850
3309,0,854
14860,0,860
2790,1,862
705,1,863
18120,1,864
3405,1,870
24895,1,873
13370,1,874
0,1,875
9874,1,883
15176,1,888
1713,1,890
269,1,892
48243,1,895
44070,1,896
21906,1,899
7563,1,900
6739,1,900
22632,1,900
22550,1,900
14953,1,900
336,1,900
29520,0,900
36697,1,900
51990,1,900
6864,1,900
14742,0,900
3639,0,900
837,1,900
420,0,900
2290,1,900
21989,0,900
2639,0,900
4293,0,900
2556,1,900
11990,1,900
1515,1,900
7934,0,900
750,0,902
21524,1,910
36390,1,912
3732,1,918
0,1,922
19257,1,925
334,0,933
33165,1,934
3162,0,938
0,0,950
7176,1,952
920,0,955
5589,1,960
28848,1,960
0,1,960
3373,1,960
23186,1,960
13251,0,965
0,1,978
18931,0,979
17703,1,980
14920,1,985
72623,1,990
12373,0,992
560,1,994
0,1,996
20358,1,997
2545,0,999
7014,0,999
4038,1,1000
12327,1,1000
0,1,1000
16773,0,1000
4116,0,1000
2601,1,1000
1961,0,1000
24654,1,1000
251,0,1000
16233,1,1000
24466,0,1000
11276,1,1000
17976,0,1000
4704,1,1000
5172,0,1000
7588,1,1000
522,1,1000
3090,1,1000
3432,0,1000
34430,0,1000
5196,1,1000
10565,1,1000
1393,1,1000
0,0,1000
6505,0,1000
11459,1,1000
6144,0,1000
0,0,1000
31418,1,1000
13749,1,1000
11883,1,1005
4606,1,1012
435,1,1014
22478,1,1017
19796,1,1018
1935,1,1020
31689,1,1020
2037,1,1021
9150,1,1024
4389,0,1030
11913,0,1031
3138,1,1032
2832,1,1035
0,1,1040
11767,0,1042
20661,1,1043
0,1,1045
0,1,1050
68929,1,1050
12945,1,1055
23409,1,1056
610,1,1058
10867,1,1060
45822,1,1064
13344,1,1067
21118,1,1072
3594,1,1080
12453,0,1087
0,0,1088
37282,1,1094
7908,0,1095
7347,0,1099
17047,0,1100
0,1,1100
636,0,1100
0,0,1100
11911,1,1100
2179,0,1100
38271,1,1100
16608,1,1100
3729,1,1100
21570,1,1100
4144,0,1100
0,0,1100
20769,0,1100
7408,1,1100
36351,1,1100
31645,1,1102
30439,1,1104
21765,0,1107
44309,0,1109
20058,1,1110
17339,1,1117
0,1,1120
18129,0,1120
5741,1,1120
6603,1,1132
12171,1,1138
17653,1,1140
0,1,1144
21411,1,1148
42555,1,1150
38633,1,1152
8671,1,1154
20659,1,1155
18376,1,1158
43712,0,1164
0,1,1168
4531,1,1169
2324,1,1171
3700,0,1172
9351,1,1173
43243,1,1175
154,0,1178
282,0,1180
17062,0,1185
11074,1,1186
978,1,1190
11445,1,1193
51541,1,1200
8070,1,1200
33135,1,1200
9452,1,1200
15883,1,1200
11655,1,1200
21233,1,1200
0,1,1200
648,0,1200
10289,1,1200
183,0,1200
35637,1,1200
6027,1,1200
26955,0,1200
4628,1,1200
22284,1,1200
203,1,1200
3222,1,1200
0,0,1200
432,1,1200
20256,1,1200
54093,1,1200
6305,1,1200
36909,0,1200
0,1,1200
62790,1,1200
9219,1,1200
616,1,1200
4748,0,1200
0,1,1200
33852,1,1209
25551,1,1211
4557,0,1216
11546,0,1218
13852,0,1220
40629,1,1223
16899,1,1227
24387,1,1232
18756,1,1236
13285,1,1240
3456,1,1244
33179,0,1248
542,1,1249
12812,0,1250
1803,0,1253
2245,0,1258
51631,0,1260
78,1,1260
3273,1,1275
954,1,1277
9425,1,1279
13680,1,1280
3933,1,1284
2505,1,1290
16324,1,1292
62,1,1296
31774,1,1300
22951,1,1300
43006,0,1300
54168,1,1300
15062,0,1300
15002,0,1300
3948,1,1300
14754,1,1300
6212,1,1300
29301,1,1300
3470,1,1300
2537,1,1300
83236,1,1300
70421,1,1300
18844,1,1300
16228,0,1300
17763,0,1302
23646,1,1303
0,0,1306
5916,0,1312
17082,0,1314
12506,1,1318
948,1,1322
4450,1,1323
2556,1,1325
25729,1,1331
10602,1,1340
26997,1,1345
21710,1,1347
1315,1,1350
41472,1,1352
23027,0,1356
17305,0,1359
23028,1,1360
4556,1,1366
9018,1,1368
55173,0,1370
47532,1,1373
0,1,1375
21343,0,1376
16281,0,1380
0,1,1382
21954,0,1386
2175,0,1398
29302,1,1400
16931,0,1400
3720,1,1400
312,0,1400
6646,1,1400
0,1,1400
16780,1,1400
4383,1,1400
35790,0,1400
15231,1,1400
25707,0,1400
4285,1,1400
8652,0,1400
0,1,1400
39505,0,1400
0,1,1400
16344,0,1404
21304,1,1406
2676,1,1407
5615,0,1417
6458,1,1422
5439,1,1430
0,1,1440
1873,1,1440
2829,0,1440
3843,1,1440
