"y","d","X1","X2"
8385,1,0,41
2577,0,0,27
24049,1,0,29
1074,0,0,34
23725,0,0,30
0,1,0,25
17537,0,0,34
27295,1,0,29
40756,1,0,37
0,0,0,34
134091,1,0,33
22920,1,0,32
32103,0,0,41
0,1,0,39
5145,0,0,26
2472,0,0,39
6768,1,0,24
20595,0,0,29
1881,1,0,36
23076,1,0,23
7414,1,0,34
12161,0,0,30
8826,0,0,25
656,1,0,30
2895,1,0,28
1092,1,0,46
216,1,0,48
0,0,0,30
0,0,0,30
30456,1,0,22
7441,1,0,34
0,1,0,37
69399,0,0,27
12620,0,0,25
0,1,0,36
7413,1,0,28
24072,1,0,43
0,0,0,39
1528,0,0,30
0,1,0,30
3030,1,0,36
0,1,0,48
45971,1,0,31
0,1,0,22
0,1,0,43
6603,1,0,34
6446,0,0,27
0,1,0,23
0,1,0,30
0,1,0,29
0,0,0,37
0,0,0,29
0,1,0,34
20715,0,0,22
12861,1,0,22
0,0,0,33
162,1,0,23
0,0,0,22
13722,0,0,28
7209,0,0,31
732,0,0,39
14475,0,0,33
0,0,0,35
2952,1,0,42
0,1,0,35
1437,0,0,22
16324,0,0,22
0,1,0,29
2178,0,0,26
648,1,0,43
10432,0,0,38
0,1,0,46
2040,1,0,23
36025,1,0,38
26274,0,0,42
13020,1,0,26
1354,0,0,25
4196,0,0,37
1080,0,0,33
3237,0,0,31
45468,1,0,29
0,1,0,30
12641,1,0,38
17250,0,0,35
19662,1,0,23
45558,1,0,24
9990,1,0,24
3525,1,0,41
2331,0,0,29
16827,1,0,25
0,1,0,46
24531,1,0,30
12378,1,0,39
4551,0,0,40
0,1,0,41
1917,1,0,22
19675,0,0,38
2312,1,0,31
195,0,0,30
8517,1,0,28
40925,1,0,35
2433,1,0,25
0,0,0,45
0,1,0,29
0,0,0,22
0,1,0,35
2761,1,0,22
11685,0,0,29
4353,1,0,41
0,1,0,28
438,1,0,35
0,0,0,28
25020,0,0,36
35883,0,0,44
7008,0,0,23
6497,1,0,40
3771,1,0,24
1707,1,0,35
0,0,0,31
9184,1,0,22
25483,1,0,24
19551,1,0,42
0,1,0,23
873,0,0,33
1461,0,0,27
1140,1,0,37
26526,0,0,49
1299,0,0,23
15167,0,0,29
738,1,0,41
17876,1,0,36
0,1,0,26
0,1,0,30
0,1,0,32
14060,1,0,34
0,1,0,32
2115,1,0,24
12459,0,0,24
0,1,0,35
11601,1,0,28
21061,1,0,42
5292,1,0,24
0,1,0,25
18357,1,0,26
2624,1,0,42
42096,0,0,36
43678,0,0,46
0,0,0,34
2552,1,0,34
0,0,0,42
15847,0,0,25
0,1,0,25
21395,1,0,36
13323,1,0,26
8007,0,0,33
2340,1,0,34
31878,1,0,25
24798,1,0,24
0,1,0,26
3180,1,0,24
0,1,0,44
12138,1,0,24
4928,1,0,33
72,1,0,39
3480,0,0,38
21947,1,0,30
13519,1,0,28
3231,1,0,35
57,0,0,43
2898,0,0,35
0,1,0,26
21096,1,0,25
15366,1,0,24
5709,1,0,35
17466,0,0,27
462,1,0,24
39051,1,0,27
1679,1,0,32
933,1,0,38
25993,1,0,46
0,1,0,28
0,0,0,42
15584,1,0,23
13957,1,0,40
20389,1,0,30
10518,1,0,50
10255,1,0,22
3546,0,0,24
6549,1,0,25
2235,1,0,49
0,0,0,49
0,0,0,36
0,1,0,37
10143,1,0,33
9354,0,0,22
0,0,0,28
14070,0,0,32
31587,1,0,26
1972,1,0,39
19230,1,0,38
13206,1,1,40
469,0,3,28
2424,1,5,34
9430,0,6,29
1903,0,8,24
12773,0,9,34
28857,1,10,32
1053,1,11,44
0,0,12,43
14749,0,13,22
0,1,14,50
5830,1,15,29
7878,1,16,23
1949,1,17,28
6336,0,19,28
23878,0,20,35
9689,1,23,36
0,0,24,37
18,1,25,25
352,0,28,49
7028,1,30,27
10838,1,31,25
0,1,32,35
5082,1,35,38
20,1,36,40
20301,0,38,49
7260,1,40,29
0,1,42,26
1188,0,45,22
43580,1,48,45
2061,1,50,43
0,0,54,28
0,1,55,30
555,1,57,44
13705,1,59,27
321,1,60,26
0,0,62,31
2382,0,63,35
2007,1,64,23
18646,1,67,22
16248,0,69,24
16569,1,70,24
14727,1,71,22
16395,1,72,35
4515,1,75,27
18525,1,76,31
25451,0,77,41
19146,1,78,26
8367,0,79,24
0,1,80,48
33909,0,84,32
30376,1,85,24
10047,0,86,27
72,0,88,47
12086,0,89,26
1760,1,90,33
23710,1,91,47
23556,1,92,47
2493,1,93,37
13,0,94,34
1374,1,96,44
732,1,98,24
21308,1,98,36
42633,0,98,38
7257,0,98,25
0,0,98,24
49794,1,98,39
13307,0,98,38
6304,1,98,28
1654,1,99,25
12582,1,100,25
2783,1,100,38
13498,0,100,40
24337,1,100,49
1680,0,102,24
19403,1,103,23
0,1,104,44
17986,1,106,22
11591,1,108,36
20274,0,109,26
627,1,110,26
14859,1,112,26
2472,0,114,33
8353,1,119,37
13871,0,120,34
117,1,120,22
15789,1,122,38
5887,1,124,28
13536,1,125,24
15128,1,126,38
2541,1,128,27
57357,0,129,45
22052,1,130,38
19320,1,132,23
0,1,133,38
13965,0,134,34
24010,1,135,45
7381,0,136,23
4346,1,138,29
303,0,140,22
16935,1,140,27
7172,0,143,27
0,0,144,29
0,1,145,33
17358,1,146,27
22221,1,150,27
714,0,150,22
7629,0,150,27
20098,1,150,27
0,0,154,50
20553,0,155,26
0,1,157,42
1940,0,160,25
0,1,162,23
5961,1,165,23
3626,1,166,26
490,1,167,42
1788,1,168,26
0,1,170,33
2806,1,171,26
44514,0,172,27
13197,0,174,22
24996,1,175,23
28631,1,176,42
14997,0,178,37
27824,1,179,44
25497,1,180,47
30742,0,182,33
4005,0,184,23
0,1,187,29
1819,1,189,35
12478,1,190,22
18615,0,192,40
0,1,195,25
24185,1,196,22
351,0,197,43
0,0,200,35
27954,0,200,22
13212,1,200,26
469,0,200,33
8043,0,200,24
2212,1,200,35
19509,1,200,26
34182,0,200,34
12297,0,200,24
42,1,200,24
27762,1,200,33
9627,1,200,23
8388,1,200,26
7085,0,200,25
15749,0,200,24
59236,1,203,32
7418,1,206,25
0,1,208,43
28506,1,209,31
1008,0,212,34
23683,0,213,26
21852,1,215,34
18648,0,218,27
11382,1,219,49
36201,1,220,33
13815,1,224,36
13333,1,225,29
5513,0,228,33
13314,0,229,38
29927,1,230,23
12261,1,231,31
0,1,232,29
7077,1,234,37
13755,1,240,27
8772,0,244,24
2760,0,245,39
0,1,246,43
28161,0,248,27
12840,0,250,25
43299,1,250,24
6981,1,250,24
24171,0,250,24
6252,1,256,31
19740,0,260,31
26049,0,262,30
0,1,265,39
5072,1,268,40
12004,1,270,30
14896,1,272,24
22579,1,274,27
60,1,275,25
2595,1,276,25
1203,1,278,37
1838,0,280,25
2694,1,285,36
12698,1,286,23
27169,1,288,47
29744,1,289,31
9732,1,290,32
15009,0,292,25
3339,0,294,22
5232,1,295,24
20856,1,296,35
268,0,297,34
36669,1,298,37
10167,0,299,24
14295,1,300,24
2614,1,300,32
33792,1,300,30
21574,1,300,30
2196,1,300,26
10374,1,300,24
20688,1,300,32
7288,0,300,22
7092,1,300,23
34926,0,300,36
39759,1,303,49
0,0,308,34
183,0,310,40
3624,1,313,26
1750,1,315,25
4461,0,318,25
31565,1,320,27
6873,1,322,25
693,1,325,32
3314,1,326,32
825,0,328,25
68989,0,330,32
5211,1,335,22
86863,1,336,37
1325,1,339,27
10401,1,340,32
37374,1,341,32
8546,1,342,36
22390,0,343,37
3495,0,344,36
3347,1,348,22
6759,1,350,31
19659,0,350,32
17293,0,352,31
0,1,358,23
17539,0,360,27
31131,0,360,30
26873,1,363,26
10297,0,364,41
18519,1,366,35
588,1,368,28
858,1,369,50
31040,1,370,34
37071,1,371,23
4569,1,375,30
0,1,379,44
0,1,384,34
555,1,387,27
26771,0,390,22
20310,1,392,49
6307,1,396,48
0,0,397,30
0,1,398,28
20196,1,400,32
23322,0,400,40
9634,1,400,22
3620,1,400,31
2451,0,400,28
6775,1,400,28
5445,1,400,29
0,0,400,45
0,0,400,30
11879,1,400,43
0,1,400,24
117,0,400,27
4307,1,400,23
30432,1,402,25
147,0,403,23
39233,1,404,22
22242,1,406,37
0,0,407,33
13089,1,408,27
927,1,410,34
300,0,412,39
33276,1,418,33
3618,0,420,22
2817,1,421,23
1857,1,422,31
27916,1,425,22
27412,1,435,34
46440,1,438,29
37191,1,440,37
10729,1,442,34
15748,1,444,26
1062,1,450,35
11373,0,450,24
12689,1,451,30
0,1,460,22
0,0,465,28
5067,1,468,50
21375,0,470,50
8073,0,472,23
21629,1,475,30
26148,1,476,33
32984,1,480,27
33497,1,481,38
16958,1,488,24
3801,1,490,35
16257,0,492,43
254,1,498,26
24,1,500,26
5076,0,500,50
4378,1,500,28
15038,1,500,27
18360,1,500,22
20076,1,500,31
13741,1,500,23
21760,1,500,28
9840,1,500,24
60727,1,500,32
120,1,500,25
8854,1,500,32
31290,0,500,24
3117,0,500,31
7502,1,500,37
1300,1,502,34
676,1,504,33
57,1,506,23
4901,1,507,47
675,1,509,25
3162,1,520,35
26923,1,521,33
39,1,522,24
6180,0,528,44
1104,1,530,24
34918,1,533,42
5852,0,536,45
319,0,540,22
10676,1,542,30
981,1,550,30
0,0,550,28
12711,1,552,25
6930,1,554,26
26091,1,557,47
7986,0,558,25
2617,1,560,45
2348,1,570,43
14640,1,575,40
35725,1,576,22
22094,1,580,46
13881,1,586,41
0,0,588,33
6102,1,590,28
7610,0,597,23
3522,1,600,25
49408,0,600,46
0,1,600,29
744,1,600,37
1326,0,600,24
28373,1,600,27
4993,0,600,45
13581,1,600,23
4620,0,600,26
30324,1,600,30
8298,0,600,35
8474,1,600,42
2124,1,600,26
14773,1,604,23
29728,0,606,24
2772,0,609,23
19555,1,612,31
41661,1,616,27
1429,0,620,31
1639,1,621,25
22716,1,627,26
8304,1,629,25
10450,1,630,49
257,1,634,31
24767,0,636,25
26220,1,637,36
26314,0,638,38
21483,1,640,22
1392,0,645,25
3123,1,647,22
22886,1,650,29
909,0,652,23
246,0,655,46
3397,0,656,35
42936,1,660,26
14790,1,665,40
9550,1,670,30
16590,0,671,22
4294,0,672,33
24262,0,675,33
6965,1,680,26
22510,1,684,37
11088,1,690,25
951,0,696,27
20014,1,700,29
12747,1,700,37
2658,0,700,26
17844,0,700,41
12403,1,700,24
6641,1,700,41
0,0,700,49
0,1,704,33
22927,0,706,30
17673,0,708,32
50253,1,711,31
16028,1,715,29
53947,1,716,42
23104,0,720,26
6353,1,723,38
16974,0,725,28
3618,1,728,24
1296,0,733,41
2955,0,744,49
13105,0,750,31
6746,0,752,30
933,0,753,25
0,1,754,28
28140,0,759,22
0,0,774,35
0,1,776,30
26288,1,780,29
12652,1,784,22
447,0,800,26
33285,0,800,41
162,1,800,41
15507,0,800,30
32187,0,800,42
0,0,800,38
5652,1,800,32
11010,1,800,24
26543,1,800,34
2392,0,800,25
26236,1,800,24
33581,1,800,23
3099,0,800,40
34,0,800,34
3102,1,814,23
251,1,816,44
11382,0,821,33
26268,1,824,23
22560,1,825,33
3375,1,832,29
20521,1,834,32
1776,1,837,24
24264,1,840,22
10095,1,844,33
5211,0,850,40
3309,0,854,23
14860,0,860,28
2790,1,862,24
0,1,864,26
3405,1,870,25
24895,1,873,25
13370,1,874,31
7470,0,875,22
9874,1,883,26
15176,1,888,22
2180,1,890,32
269,1,892,31
48243,1,895,34
44070,1,896,49
21906,1,899,34
3782,1,900,27
29520,0,900,28
6864,1,900,24
10851,0,900,36
24951,0,900,31
4293,0,900,26
11990,1,900,48
7934,0,900,41
750,0,902,37
0,1,910,30
36390,1,912,32
3732,1,918,48
0,1,922,31
19257,1,925,42
334,0,933,22
33165,1,934,29
6988,1,938,27
0,0,950,28
7176,1,952,26
920,0,955,38
1234,0,960,29
13251,0,965,22
0,1,978,30
18931,0,979,27
17703,1,980,28
14920,1,985,22
72623,1,990,34
12373,0,992,39
560,1,994,35
0,1,996,28
20358,1,997,35
48,0,999,44
4038,1,1000,41
63663,1,1000,29
13043,1,1000,24
27694,1,1000,35
16773,0,1000,31
22424,0,1000,37
1362,1,1000,33
16233,1,1000,29
68772,1,1000,43
2622,1,1000,30
0,0,1000,38
13091,1,1000,39
0,0,1000,35
32119,1,1000,27
19110,0,1000,28
2786,1,1000,35
5979,0,1000,35
0,1,1000,32
2529,1,1000,23
987,1,1000,26
1858,0,1000,26
16014,1,1000,28
0,1,1000,45
4774,0,1000,26
23436,0,1000,25
11883,1,1005,26
4606,1,1012,50
435,1,1014,45
22478,1,1017,34
19796,1,1018,31
23433,0,1020,24
2037,1,1021,30
22375,1,1024,32
